,online_transaction_flg,code,category,transaction_amt,day_of_week,time_of_day,customer_id,day_time
0,offline,7372,Связь/Телеком,900,1,Ночь,13231,Понедельник Ночь
1,offline,7372,Связь/Телеком,900,1,Ночь,13231,Понедельник Ночь
2,offline,5411,Супермаркеты,300,1,День,13231,Понедельник День
3,online,4121,Транспорт,200,1,День,13231,Понедельник День
4,online,4121,Транспорт,100,1,День,13231,Понедельник День
5,online,4121,Транспорт,200,1,День,13231,Понедельник День
6,offline,5814,Фаст Фуд,100,1,Утро,13231,Понедельник Утро
7,online,4121,Транспорт,100,1,День,13231,Понедельник День
8,offline,5814,Фаст Фуд,100,1,Утро,13231,Понедельник Утро
9,offline,5411,Супермаркеты,300,1,День,13231,Понедельник День
10,offline,5812,Рестораны,500,2,День,13231,Вторник День
11,offline,5812,Рестораны,500,2,День,13231,Вторник День
12,offline,5411,Супермаркеты,300,2,День,13231,Вторник День
13,offline,5411,Супермаркеты,300,2,День,13231,Вторник День
14,offline,5411,Супермаркеты,200,2,День,13231,Вторник День
15,offline,5411,Супермаркеты,200,2,День,13231,Вторник День
16,online,9399,Госсборы,100,3,Вечер,13231,Среда Вечер
17,online,4121,Транспорт,100,3,Вечер,13231,Среда Вечер
18,online,9399,Госсборы,100,3,Вечер,13231,Среда Вечер
19,offline,5814,Фаст Фуд,200,3,Утро,13231,Среда Утро
20,offline,5411,Супермаркеты,200,3,День,13231,Среда День
21,online,4121,Транспорт,100,3,Вечер,13231,Среда Вечер
22,offline,5411,Супермаркеты,200,3,День,13231,Среда День
23,offline,5814,Фаст Фуд,200,3,Утро,13231,Среда Утро
24,offline,5411,Супермаркеты,600,4,День,13231,Четверг День
25,offline,5814,Фаст Фуд,200,4,Утро,13231,Четверг Утро
26,offline,5814,Фаст Фуд,200,4,Утро,13231,Четверг Утро
27,offline,5411,Супермаркеты,600,4,День,13231,Четверг День
28,offline,5411,Супермаркеты,1000,5,Вечер,13231,Пятница Вечер
29,offline,5814,Фаст Фуд,100,5,Утро,13231,Пятница Утро
30,offline,5814,Фаст Фуд,100,5,Утро,13231,Пятница Утро
31,offline,5411,Супермаркеты,50,5,День,13231,Пятница День
32,offline,5411,Супермаркеты,50,5,День,13231,Пятница День
33,offline,5814,Фаст Фуд,1100,5,Вечер,13231,Пятница Вечер
34,offline,5814,Фаст Фуд,500,5,День,13231,Пятница День
35,offline,5411,Супермаркеты,100,5,Утро,13231,Пятница Утро
36,offline,5411,Супермаркеты,1000,5,Вечер,13231,Пятница Вечер
37,offline,5814,Фаст Фуд,1100,5,Вечер,13231,Пятница Вечер
38,offline,5411,Супермаркеты,100,5,Утро,13231,Пятница Утро
39,offline,5814,Фаст Фуд,500,5,День,13231,Пятница День
40,offline,5411,Супермаркеты,400,5,Вечер,13231,Пятница Вечер
41,offline,5411,Супермаркеты,400,5,Вечер,13231,Пятница Вечер
42,offline,8021,Медицинские услуги,4200,6,День,13231,Суббота День
43,offline,8021,Медицинские услуги,4200,6,День,13231,Суббота День
44,offline,5812,Рестораны,300,6,Утро,13231,Суббота Утро
45,offline,5812,Рестораны,300,6,Утро,13231,Суббота Утро
46,offline,5411,Супермаркеты,800,6,Вечер,13231,Суббота Вечер
47,offline,5411,Супермаркеты,100,6,Вечер,13231,Суббота Вечер
48,offline,5411,Супермаркеты,100,6,Вечер,13231,Суббота Вечер
49,offline,5411,Супермаркеты,800,6,Вечер,13231,Суббота Вечер
50,offline,5661,Одежда/Обувь,13000,7,Вечер,13231,Воскресенье Вечер
51,offline,5661,Одежда/Обувь,13000,7,Вечер,13231,Воскресенье Вечер
52,offline,7523,Транспорт,100,7,Вечер,13231,Воскресенье Вечер
53,offline,7523,Транспорт,100,7,Вечер,13231,Воскресенье Вечер
54,offline,5814,Фаст Фуд,300,7,Вечер,13231,Воскресенье Вечер
55,offline,5814,Фаст Фуд,500,7,Вечер,13231,Воскресенье Вечер
56,offline,5814,Фаст Фуд,300,7,Вечер,13231,Воскресенье Вечер
57,offline,5814,Фаст Фуд,500,7,Вечер,13231,Воскресенье Вечер
58,online,7512,Аренда авто,200,1,Вечер,16850,Понедельник Вечер
59,online,7512,Аренда авто,200,1,День,16850,Понедельник День
60,online,7512,Аренда авто,100,1,Ночь,16850,Понедельник Ночь
61,online,7512,Аренда авто,200,1,Вечер,16850,Понедельник Вечер
62,offline,5499,Супермаркеты,40,1,Вечер,16850,Понедельник Вечер
63,offline,5411,Супермаркеты,100,1,Вечер,16850,Понедельник Вечер
64,online,7999,Развлечения,100,2,День,16850,Вторник День
65,online,7999,Развлечения,90,2,День,16850,Вторник День
66,online,7311,Сервисные услуги,200,2,Утро,16850,Вторник Утро
67,online,7311,Сервисные услуги,100,2,Утро,16850,Вторник Утро
