online_transaction_flg,code,category,transaction_amt,day_of_week,time_of_day,customer_id
0,7372,Связь/Телеком,900,1,Ночь,13231
0,7372,Связь/Телеком,900,1,Ночь,13231
0,5411,Супермаркеты,300,1,День,13231
1,4121,Транспорт,200,1,День,13231
1,4121,Транспорт,100,1,День,13231
1,4121,Транспорт,200,1,День,13231
0,5814,Фаст Фуд,100,1,Утро,13231
1,4121,Транспорт,100,1,День,13231
0,5814,Фаст Фуд,100,1,Утро,13231
0,5411,Супермаркеты,300,1,День,13231
0,5812,Рестораны,500,2,День,13231
0,5812,Рестораны,500,2,День,13231
0,5411,Супермаркеты,300,2,День,13231
0,5411,Супермаркеты,300,2,День,13231
0,5411,Супермаркеты,200,2,День,13231
0,5411,Супермаркеты,200,2,День,13231
1,9399,Госсборы,100,3,Вечер,13231
1,4121,Транспорт,100,3,Вечер,13231
1,9399,Госсборы,100,3,Вечер,13231
0,5814,Фаст Фуд,200,3,Утро,13231
0,5411,Супермаркеты,200,3,День,13231
1,4121,Транспорт,100,3,Вечер,13231
0,5411,Супермаркеты,200,3,День,13231
0,5814,Фаст Фуд,200,3,Утро,13231
0,5411,Супермаркеты,600,4,День,13231
0,5814,Фаст Фуд,200,4,Утро,13231
0,5814,Фаст Фуд,200,4,Утро,13231
0,5411,Супермаркеты,600,4,День,13231
0,5411,Супермаркеты,1000,5,Вечер,13231
0,5814,Фаст Фуд,100,5,Утро,13231
0,5814,Фаст Фуд,100,5,Утро,13231
0,5411,Супермаркеты,50,5,День,13231
0,5411,Супермаркеты,50,5,День,13231
0,5814,Фаст Фуд,1100,5,Вечер,13231
0,5814,Фаст Фуд,500,5,День,13231
0,5411,Супермаркеты,100,5,Утро,13231
0,5411,Супермаркеты,1000,5,Вечер,13231
0,5814,Фаст Фуд,1100,5,Вечер,13231
0,5411,Супермаркеты,100,5,Утро,13231
0,5814,Фаст Фуд,500,5,День,13231
0,5411,Супермаркеты,400,5,Вечер,13231
0,5411,Супермаркеты,400,5,Вечер,13231
0,8021,Медицинские услуги,4200,6,День,13231
0,8021,Медицинские услуги,4200,6,День,13231
0,5812,Рестораны,300,6,Утро,13231
0,5812,Рестораны,300,6,Утро,13231
0,5411,Супермаркеты,800,6,Вечер,13231
